"id","ranking","repo","url","description","lang","stars","forks","added_stars","time"
"2757","17","/Mr-xn/BLACKHAT_Asia2023","https://github.com/Mr-xn/BLACKHAT_Asia2023","Black Hat Asia 2023 PDF Public","","278","30","109 stars today","2023-05-16 21:33:45"
"2756","16","/StanGirard/quivr","https://github.com/StanGirard/quivr","Dump all your files and thoughts into your GenerativeAI brain and chat with it","Python","633","155","53 stars today","2023-05-16 21:33:45"
"2755","15","/yuzu-emu/yuzu","https://github.com/yuzu-emu/yuzu","Nintendo Switch Emulator","C++","26,988","2,332","405 stars today","2023-05-16 21:33:45"
"2753","13","/webwhiz-ai/webwhiz","https://github.com/webwhiz-ai/webwhiz","WebWhiz allows you to create an AI chatbot that knows everything about your product and can instantly respond to your customer's queries.","TypeScript","449","176","176 stars today","2023-05-16 21:33:45"
"2752","12","/liou666/polyglot","https://github.com/liou666/polyglot","  桌面端AI语言练习应用","TypeScript","1,353","122","19 stars today","2023-05-16 21:33:45"
"2751","11","/imartinez/privateGPT","https://github.com/imartinez/privateGPT","Interact privately with your documents using the power of GPT, 100% privately, no data leaks","Python","16,255","1,539","2,414 stars today","2023-05-16 21:33:45"
"2750","10","/microsoft/playwright","https://github.com/microsoft/playwright","Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API.","TypeScript","50,551","2,539","42 stars today","2023-05-16 21:33:45"
"2749","9","/ProjektyUstaw/Ustawy-o-PIT","https://github.com/ProjektyUstaw/Ustawy-o-PIT","","","629","41","146 stars today","2023-05-16 21:33:45"
"2748","8","/dsdanielpark/Bard-API","https://github.com/dsdanielpark/Bard-API","The python package that returns response of Google Bard through API.","Python","830","56","515 stars today","2023-05-16 21:33:45"
"2747","7","/brexhq/prompt-engineering","https://github.com/brexhq/prompt-engineering","Tips and tricks for working with Large Language Models like OpenAI's GPT-4.","","3,282","203","1,697 stars today","2023-05-16 21:33:45"
"2741","1","/sunner/ChatALL","https://github.com/sunner/ChatALL","Concurrently chat with ChatGPT, Bing Chat, bard, Alpaca, Vincuna, Claude, ChatGLM, MOSS, iFlytek Spark, ERNIE and more, discover the best answers","JavaScript","806","64","134 stars today","2023-05-16 21:33:45"
"2754","14","/langgenius/dify","https://github.com/langgenius/dify","One API for plugins and datasets, one interface for prompt engineering and visual operation, all for creating powerful AI applications.","TypeScript","1,640","127","376 stars today","2023-05-16 21:33:45"
"2746","6","/EbookFoundation/free-programming-books","https://github.com/EbookFoundation/free-programming-books","  Freely available programming books","","279,340","55,151","111 stars today","2023-05-16 21:33:45"
"2745","5","/s-JoL/Open-Llama","https://github.com/s-JoL/Open-Llama","The complete training code of the open-source high-performance Llama model, including the full process from pre-training to RLHF.","Python","811","60","175 stars today","2023-05-16 21:33:45"
"2744","4","/freeCodeCamp/freeCodeCamp","https://github.com/freeCodeCamp/freeCodeCamp","freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.","TypeScript","366,566","32,087","255 stars today","2023-05-16 21:33:45"
"2743","3","/e2b-dev/e2b","https://github.com/e2b-dev/e2b","Vercel for AI agents. We help developers to build, deploy, and monitor AI agents. Focusing on specialized AI agents that build software for you - your personal software developers.","Python","4,304","289","72 stars today","2023-05-16 21:33:45"
"2742","2","/DataTalksClub/mlops-zoomcamp","https://github.com/DataTalksClub/mlops-zoomcamp","Free MLOps course from DataTalks.Club","Jupyter Notebook","6,143","1,119","180 stars today","2023-05-16 21:33:45"
"2765","25","/openai/plugins-quickstart","https://github.com/openai/plugins-quickstart","Get a ChatGPT plugin up and running in under 5 minutes!","Python","2,033","371","196 stars today","2023-05-16 21:33:45"
"2764","24","/microsoft/guidance","https://github.com/microsoft/guidance","A guidance language for controlling large language models.","Jupyter Notebook","915","18","56 stars today","2023-05-16 21:33:45"
"2763","23","/go-skynet/LocalAI","https://github.com/go-skynet/LocalAI","  Self-hosted, community-driven, local OpenAI-compatible API. Drop-in replacement for OpenAI running LLMs on consumer-grade hardware. LocalAI is a RESTful API to run ggml compatible models: llama.cpp, alpaca.cpp, gpt4all.cpp, rwkv.cpp, whisper.cpp, vicuna, koala, gpt4all-j, cerebras and many others!","Go","3,376","255","391 stars today","2023-05-16 21:33:45"
"2762","22","/jtsang4/claude-to-chatgpt","https://github.com/jtsang4/claude-to-chatgpt","This project converts the API of Anthropic's Claude model to the OpenAI Chat API format.","Python","424","25","222 stars today","2023-05-16 21:33:45"
"2761","21","/Yidadaa/ChatGPT-Next-Web","https://github.com/Yidadaa/ChatGPT-Next-Web","One-Click to deploy well-designed ChatGPT web UI on Vercel. 一键拥有你自己的 ChatGPT 网页服务。","TypeScript","25,770","21,423","411 stars today","2023-05-16 21:33:45"
"2760","20","/pengzhile/pandora","https://github.com/pengzhile/pandora","潘多拉，一个让你呼吸顺畅的ChatGPT。Pandora, a ChatGPT that helps you breathe smoothly.","Python","5,673","861","420 stars today","2023-05-16 21:33:45"
